,댓글,혐오여부
0,이년아 아침부터 꿀정보 잔뜩 흘려주노 노무현 고맙노 워추 박고 가노,
1,냄져만 걸러서 병원가도 성공하노.좋은정보 고맙다이기.나도 의사있는데로 다니노.,
2,치과의사라니 봊나 멋있다이기야 정보글 고맙노 워추준다이기,
3,참된 의사가 웜에있었노 돈에 후장팔놈들은 역시 안된다이디야 워추준다,
4,다른 병원은 의사 있는 곳으로 골라서 다니는데 치과는 자지의사 있는 곳으로 별 생각 없이 그냥 다녔노 의사 있는 곳 찾아서 다녀야겠노,
5,이년아 저번 글부터 잘 보고 있노. 좆팔 어떤 남의사새끼가 한남좆만한걸로 이건 치아를 깎아내고 웅앵웅해서 치아에 대해 0.69도 모르는 내가 그새끼 사기치는거같아서 치료 안받겠다고 하고 나왔었노. 니 글을 보니 애초에 할 필요가 없었던거 아니노 좆팔 의사분이 하는 치과 가니까 안한게 천만 다행이라더노 좆팔 남의사뽀이들 돈에 미쳐가지고 남의 멀쩡한 몸가지고 좆팔,
6,워친 현생 힘주고 있었는데 그런 멋글 올라왔었노 나 반점치 댓글단 년인데 아기전사때부터 그거좀 있다고 불편함 한남6.9좆만큼도 안느꼈다이기 기능에 이상만 없으면 되지 왜 멀쩡한 치아 상하도록 업업을 시킬라카노? 글 고맙다이기^느^ ,
7,정보글 고맙다이기 자집애들은 의사든 치과의사든 시켜주면 안된다이기 자적자에 환자 등쳐먹기까지 한남후장같은 짓을 앵나오게 많이하노,
8,고급정보는 아묻따 워추노 정상에서 백살까제 살아야되는데 멍청한 치과보이들한테 빨릴수야 없지 ,
9,꿀정보 고맙노. 출처적고 커뮤로 퍼가겠다 이기야,
10,앵나 유용한 정보노 과잉진료하는 치과뽀이들 다 테디베어되고 싶어 환장했노 다 이빨 뽑아버려야한다이니야,
11,정보글 ㅇㅊ 턱 때문에 교정해야 하는 년인데 교정할 때 의사뽀이가 그 지랄하면 칼뿍찍하고 오겠노,
12,건강꿘에게 노무 유익한 정보노 워추주고간다익이,
13,노무 유용한 정보노 워추먹어라익이,
